"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 31 22:13:33 UTC 2026","Tue Mar 31 22:14:02 UTC 2026","29542","tests","test_11_CMS_Notifications","","","","test_CMS_11_13_0_Delete_From_Three_Dots_Menu","
Test Case 213: Verify ability to delete notification from 3 dots menu.

Test Steps:
1. Launch the browser
2. Login as admin user
3. Navigate to Notifications page
4. Check for unread notifications
5. If no unread notifications, switch to Read tab
6. Delete notification from 3 dots menu
7. Verify notification is deleted successfully
"
"broken","Tue Mar 31 22:39:13 UTC 2026","Tue Mar 31 22:41:03 UTC 2026","110393","tests.android","test_3_Account_Setup","TestPersonInformationManagement","","","test_NAF_3_4_0_modify_name","
    Test Case: NAF-55
    As a registered user I can view and update my profile settings
    Scenario: Modify Name
    
    Steps:
    1. Open the app, assume the user is logged in
    2. Go to ""My Profile"" button
    3. Click on ""Edit"" button
    4. Enter name
    5. Click on ""Save"" button
    "
"passed","Tue Mar 31 22:11:59 UTC 2026","Tue Mar 31 22:12:32 UTC 2026","33848","tests","test_11_CMS_Notifications","","","","test_CMS_11_10_0_Reply_To_Comment","
Test Case 210: Verify ability to reply to a comment from notification.

Test Steps:
1. Launch the browser
2. Login as admin user
3. Navigate to Notifications page
4. Check for unread notifications
5. If no unread notifications, switch to Read tab
6. Click on the first notification entry
7. Reply to the selected comment
8. Verify reply functionality works correctly
"
"passed","Tue Mar 31 22:14:37 UTC 2026","Tue Mar 31 22:15:04 UTC 2026","27477","tests","test_12_CMS_Communities","","","","test_NAF_12_1_0_View_All_Communities","
Test Case 224: Verify Community Groups Visibility in CMS

Test Steps:
1. Launch the browser
2. Login as admin user
3. Navigate to Postpartum community page
4. Verify visibility of all community groups
5. Check each community individually (Pregnant, Trying to Conceive, Postpartum)
"
"passed","Tue Mar 31 22:12:32 UTC 2026","Tue Mar 31 22:13:10 UTC 2026","37116","tests","test_11_CMS_Notifications","","","","test_CMS_11_11_0_Reply_To_Program_Step_Thread","
Test Case 211: Verify ability to reply to program step thread from notification.

Test Steps:
1. Launch the browser
2. Login as admin user
3. Navigate to Notifications page
4. Check for unread notifications
5. If no unread notifications, switch to Read tab
6. Click on the first notification entry
7. Reply to the program step thread
8. Verify reply functionality works correctly
"
"broken","Tue Mar 31 23:15:36 UTC 2026","Tue Mar 31 23:15:52 UTC 2026","16054","tests.ios","test_2_Authentication","TestAuthentication","","","test_NAF_2_3_0_successful_password_reset_request","
    Test Case: NAF-16
    As a user I want to reset my password if I forget it
    Scenario: Successful Password Reset Request
    
    Steps:
    1. Open the app, Go to the Login page
    2. Click the 'forgot password?' link
    3. Enter a valid registered email
    4. Click 'Submit' button
    "
"broken","Tue Mar 31 23:00:01 UTC 2026","Tue Mar 31 23:00:01 UTC 2026","0","tests.android","test_14_Community","TestCommunityManagement","","","test_NAF_14_1_0_verify_community_feed_navigation","
    Test Case: NAF-265
    As a user, I want to join a community based on my selected stage during onboarding.
    Scenario: Verify community feed navigation
    
    Steps:
    1. Open the app, assume the user is logged in
    2. Go to ""Community"" tab
    3. Verify community feed is displayed
    4. Verify community feed navigation is working
    "
"broken","Wed Apr 01 00:16:19 UTC 2026","Wed Apr 01 00:16:19 UTC 2026","0","tests.ios","test_14_Community","TestCommunityManagement","","","test_NAF_14_4_0_verify_adding_comment_to_post","
    Test Case: NAF-272
    As a user, I want to interact with post: 'Like' post, leave comments
    Scenario: Verify adding a comment to a post
    
    Steps:
    1. Open the app, assume the user is logged in
    2. Go to 'Community' tab
    3. Find a post with comments
    4. Click on comment button
    5. Add a new comment
    6. Verify comment is added successfully
    
    Expected Result: User should be able to add comments to posts
    "
"passed","Tue Mar 31 21:54:24 UTC 2026","Tue Mar 31 21:54:45 UTC 2026","21019","tests","test_8_CMS_Video_Management","","","","test_NAF_8_1_0_Navigate_To_Video_Section","
Test that an admin user can navigate to the Video section of the CMS platform through the sidebar menu.

Test Steps:
1. Launch the browser
2. Login as admin user
3. Navigate to Video section via sidebar menu
4. Verify successful navigation to video section
"
"broken","Tue Mar 31 22:02:51 UTC 2026","Tue Mar 31 22:03:07 UTC 2026","15763","tests.android","test_2_Authentication","TestAuthentication","","","test_NAF_2_3_0_successful_password_reset_request","
    Test Case: NAF-16
    As a user I want to reset my password if I forget it
    Scenario: Successful Password Reset Request
    
    Steps:
    1. Open the app, Go to the Login page
    2. Click the 'forgot password?' link
    3. Enter a valid registered email
    4. Click 'Submit' button
    "
